number,value,datetime_start,datetime_complete,duration,params_learning_rate_TTA,state
0,81706.52982452951,2025-04-24 17:45:08.710169,2025-04-24 17:45:12.699287,0 days 00:00:03.989118,0.24502598718644894,COMPLETE
1,69.03695756487575,2025-04-24 17:45:08.710169,2025-04-24 17:45:12.645836,0 days 00:00:03.935667,0.059424976228662975,COMPLETE
2,0.9718029831574908,2025-04-24 17:45:08.725802,2025-04-24 17:45:12.599055,0 days 00:00:03.873253,0.00010742225315602945,COMPLETE
3,1.0397939295558074,2025-04-24 17:45:08.725802,2025-04-24 17:45:12.561068,0 days 00:00:03.835266,0.0022873517777588855,COMPLETE
4,0.972267630035099,2025-04-24 17:45:08.741422,2025-04-24 17:45:12.661501,0 days 00:00:03.920079,5.249740053845176e-05,COMPLETE
5,0.9722098859793324,2025-04-24 17:45:08.741422,2025-04-24 17:45:12.645836,0 days 00:00:03.904414,4.633605234393179e-05,COMPLETE
6,0.9718661801279466,2025-04-24 17:45:12.599055,2025-04-24 17:45:16.525136,0 days 00:00:03.926081,0.00012002950067511626,COMPLETE
7,0.9717636256215714,2025-04-24 17:45:12.630290,2025-04-24 17:45:16.487718,0 days 00:00:03.857428,0.00020591578284940394,COMPLETE
8,1.7357450078710486,2025-04-24 17:45:12.645836,2025-04-24 17:45:16.540744,0 days 00:00:03.894908,0.006579211541011546,COMPLETE
9,12341.806432006757,2025-04-24 17:45:12.661501,2025-04-24 17:45:16.540744,0 days 00:00:03.879243,0.21610879898815663,COMPLETE
10,0.9724394762946496,2025-04-24 17:45:12.661501,2025-04-24 17:45:16.509452,0 days 00:00:03.847951,1.433601333483299e-05,COMPLETE
11,0.9718491998866863,2025-04-24 17:45:12.714910,2025-04-24 17:45:16.509452,0 days 00:00:03.794542,0.00019545700773047187,COMPLETE
12,0.9722143465615108,2025-04-24 17:45:16.487718,2025-04-24 17:45:20.264475,0 days 00:00:03.776757,5.4924368811465605e-05,COMPLETE
13,0.9721558156383974,2025-04-24 17:45:16.509452,2025-04-24 17:45:20.317921,0 days 00:00:03.808469,5.030632633501122e-05,COMPLETE
14,1.1339187975293021,2025-04-24 17:45:16.525136,2025-04-24 17:45:20.302283,0 days 00:00:03.777147,0.0036513298583463485,COMPLETE
15,0.9799252575861177,2025-04-24 17:45:16.556399,2025-04-24 17:45:20.409556,0 days 00:00:03.853157,0.0008282545225548046,COMPLETE
16,0.9758323797040461,2025-04-24 17:45:16.556399,2025-04-24 17:45:20.302283,0 days 00:00:03.745884,0.0008030903625502936,COMPLETE
17,0.9835116743939546,2025-04-24 17:45:16.587600,2025-04-24 17:45:20.349163,0 days 00:00:03.761563,0.0009856530304006325,COMPLETE
18,0.9920774435701112,2025-04-24 17:45:20.280103,2025-04-24 17:45:24.305121,0 days 00:00:04.025018,0.0013610781955733073,COMPLETE
19,0.9781115692050376,2025-04-24 17:45:20.317921,2025-04-24 17:45:24.282929,0 days 00:00:03.965008,0.000723615551046365,COMPLETE
20,0.9733051348842964,2025-04-24 17:45:20.364785,2025-04-24 17:45:24.305121,0 days 00:00:03.940336,0.0005061973986636879,COMPLETE
21,0.9712888315639723,2025-04-24 17:45:20.399352,2025-04-24 17:45:24.305121,0 days 00:00:03.905769,0.0003597445077006885,COMPLETE
22,0.9724612983477918,2025-04-24 17:45:20.429995,2025-04-24 17:45:24.336431,0 days 00:00:03.906436,1.017270586859298e-05,COMPLETE
23,0.9724312424700273,2025-04-24 17:45:20.489617,2025-04-24 17:45:24.320805,0 days 00:00:03.831188,1.0931484797147165e-05,COMPLETE
24,0.9724386549689512,2025-04-24 17:45:24.282929,2025-04-24 17:45:28.002583,0 days 00:00:03.719654,1.1504037749097612e-05,COMPLETE
25,0.9715203720757639,2025-04-24 17:45:24.305121,2025-04-24 17:45:28.002583,0 days 00:00:03.697462,0.0002592171907666528,COMPLETE
26,0.9724708872155853,2025-04-24 17:45:24.320805,2025-04-24 17:45:27.986917,0 days 00:00:03.666112,1.118321894129985e-05,COMPLETE
27,2.6723051557327606,2025-04-24 17:45:24.336431,2025-04-24 17:45:28.002583,0 days 00:00:03.666152,0.012867741085302895,COMPLETE
28,2.667420976905762,2025-04-24 17:45:24.352021,2025-04-24 17:45:27.986917,0 days 00:00:03.634896,0.012105358687869163,COMPLETE
29,2.355333402875509,2025-04-24 17:45:24.367680,2025-04-24 17:45:28.002583,0 days 00:00:03.634903,0.012935949052445102,COMPLETE
