number,value,datetime_start,datetime_complete,duration,params_depth,params_hidden_size,params_learning_rate,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,3.8141730806353147,2025-07-09 15:41:07.933691,2025-07-09 15:44:08.479142,0 days 00:03:00.545451,3,16,0.000426770041019324,5.514222059843084e-06,,,COMPLETE
1,3.9497401963728285,2025-07-09 15:41:07.933691,2025-07-09 15:44:20.138763,0 days 00:03:12.205072,4,8,0.0003441538661673319,5.908903506542596e-07,3.9497401963728285,,COMPLETE
2,3.6688465501773435,2025-07-09 15:44:08.489115,2025-07-09 15:47:36.235418,0 days 00:03:27.746303,4,8,0.0015209161285064101,1.2081006100572329e-07,3.7930483281409346,,COMPLETE
3,3.9844167189664503,2025-07-09 15:44:20.151439,2025-07-09 15:46:13.296843,0 days 00:01:53.145404,3,16,0.0003302116237184297,2.0601621798809993e-06,3.9844167189664503,,PRUNED
4,3.9864093800495985,2025-07-09 15:46:13.296843,2025-07-09 15:48:14.938867,0 days 00:02:01.642024,4,16,0.00031227886357286473,9.974816650061361e-06,3.9864093800495985,,PRUNED
5,4.126541167534212,2025-07-09 15:47:36.235418,2025-07-09 15:49:23.782774,0 days 00:01:47.547356,2,8,0.000664075582542349,2.0637790095129263e-06,4.126541167534212,,PRUNED
6,2.7364589336777243,2025-07-09 15:48:14.938867,2025-07-09 15:51:25.358081,0 days 00:03:10.419214,2,16,0.004346824115858917,2.2392094218022756e-06,3.6129406841953005,3.280430421209823,COMPLETE
7,4.101178254464379,2025-07-09 15:49:23.782774,2025-07-09 15:50:18.613520,0 days 00:00:54.830746,3,8,0.00047736976778224935,2.096000880704967e-06,4.101178254464379,,PRUNED
8,3.4479834356656216,2025-07-09 15:50:18.613520,2025-07-09 15:52:14.957681,0 days 00:01:56.344161,3,16,0.001388674308787894,4.471735492137214e-06,3.499244630715018,3.4479834356656216,PRUNED
9,3.590057307952101,2025-07-09 15:51:25.374716,2025-07-09 15:52:26.004044,0 days 00:01:00.629328,4,8,0.0004592953240451746,2.592341692211133e-07,3.590057307952101,,PRUNED
10,2.9168748324428946,2025-07-09 15:52:14.957681,2025-07-09 15:55:43.403758,0 days 00:03:28.446077,4,16,0.003549080558121068,1.1219585550718501e-06,3.5854925434954987,,COMPLETE
11,3.546350457852911,2025-07-09 15:52:26.004044,2025-07-09 15:53:16.404601,0 days 00:00:50.400557,2,16,0.004299612291042249,6.162394857458504e-07,3.546350457852911,,PRUNED
12,3.231241802483651,2025-07-09 15:53:16.419134,2025-07-09 15:56:24.489626,0 days 00:03:08.070492,2,8,0.004073307158095484,1.1360992666018797e-07,3.625033602323478,,COMPLETE
13,2.673736685393149,2025-07-09 15:55:43.403758,2025-07-09 15:58:54.722312,0 days 00:03:11.318554,2,16,0.0045994176168790545,1.1212049674787099e-06,3.215033115060232,,COMPLETE
14,4.196446060625345,2025-07-09 15:56:24.489626,2025-07-09 15:57:18.821597,0 days 00:00:54.331971,2,16,0.00012132026861979742,1.0507798978928447e-06,4.196446060625345,,PRUNED
15,3.5633957207387366,2025-07-09 15:57:18.821597,2025-07-09 16:00:53.631824,0 days 00:03:34.810227,4,16,0.0022280150786745776,1.0498398809135933e-06,3.6042617655837224,,COMPLETE
16,3.7498401883077546,2025-07-09 15:58:54.722312,2025-07-09 15:59:45.495729,0 days 00:00:50.773417,2,16,0.002236100099169116,5.49891607157355e-07,3.7498401883077546,,PRUNED
17,2.916251338445697,2025-07-09 15:59:45.505746,2025-07-09 16:02:54.957700,0 days 00:03:09.451954,2,16,0.0022969684251484303,3.4552923434843784e-06,3.494762815416564,,COMPLETE
18,4.058332156937096,2025-07-09 16:00:53.631824,2025-07-09 16:01:48.463345,0 days 00:00:54.831521,2,16,0.0012001069710441544,3.3621906556840294e-06,4.058332156937096,,PRUNED
19,3.8027498530856336,2025-07-09 16:01:48.463345,2025-07-09 16:02:41.311246,0 days 00:00:52.847901,2,16,0.0026858186906424247,1.5985747318331577e-06,3.8027498530856336,,PRUNED
20,2.79480058656363,2025-07-09 16:02:41.312081,2025-07-09 16:05:49.914926,0 days 00:03:08.602845,2,16,0.0049076765097886615,3.6580634698457225e-07,3.3540626772825703,,COMPLETE
21,3.9548473453896817,2025-07-09 16:02:54.970213,2025-07-09 16:04:44.570380,0 days 00:01:49.600167,2,16,0.0009629244118519014,3.317081598888329e-07,3.9548473453896817,,PRUNED
22,2.5995680874171256,2025-07-09 16:04:44.570380,2025-07-09 16:07:52.173743,0 days 00:03:07.603363,2,16,0.004990999254784248,3.247984287169619e-06,3.324877117126599,,COMPLETE
23,3.6054492159363356,2025-07-09 16:05:49.914926,2025-07-09 16:07:38.179708,0 days 00:01:48.264782,2,16,0.004469089941053082,2.454124368308365e-07,3.6054492159363356,,PRUNED
24,3.690588109705539,2025-07-09 16:07:38.179708,2025-07-09 16:09:25.941704,0 days 00:01:47.761996,2,16,0.003121245778005692,3.8727998109870046e-07,3.690588109705539,,PRUNED
