number,value,datetime_start,datetime_complete,duration,params_learning_rate_TTA,params_n_steps_TTA,state
0,1.0649002641354126,2025-06-05 14:57:36.181503,2025-06-05 14:57:54.245843,0 days 00:00:18.064340,9.703451638382668e-05,1,COMPLETE
1,1.064900439643834,2025-06-05 14:57:36.183522,2025-06-05 14:58:36.933200,0 days 00:01:00.749678,1.8274360429425216e-05,10,COMPLETE
2,1.0649004427287017,2025-06-05 14:57:36.193609,2025-06-05 14:58:19.078609,0 days 00:00:42.885000,0.009073700185802001,7,COMPLETE
3,1.0649944935319218,2025-06-05 14:57:36.200607,2025-06-05 14:58:41.331804,0 days 00:01:05.131197,0.0026236895442013986,9,COMPLETE
4,1.0649004236343593,2025-06-05 14:57:54.245843,2025-06-05 14:58:11.375088,0 days 00:00:17.129245,1.054583645808767e-05,1,COMPLETE
5,1.0648995708968982,2025-06-05 14:58:11.375088,2025-06-05 14:59:49.408660,0 days 00:01:38.033572,5.96548636545061e-05,10,COMPLETE
6,1.0649139013174351,2025-06-05 14:58:19.078609,2025-06-05 14:59:03.640775,0 days 00:00:44.562166,0.0015962653030423986,8,COMPLETE
7,1.0649006796058844,2025-06-05 14:58:36.933200,2025-06-05 14:59:10.425308,0 days 00:00:33.492108,8.562020079804091e-05,5,COMPLETE
8,1.0648977639798827,2025-06-05 14:58:41.348263,2025-06-05 14:59:13.520851,0 days 00:00:32.172588,0.0006111768132235399,4,COMPLETE
9,1.064937131971272,2025-06-05 14:59:03.657295,2025-06-05 14:59:41.144753,0 days 00:00:37.487458,0.002968582037299513,6,COMPLETE
10,1.064897187668785,2025-06-05 14:59:10.425308,2025-06-05 14:59:46.209672,0 days 00:00:35.784364,0.000589964952881063,5,COMPLETE
11,1.0649004781202456,2025-06-05 14:59:13.520851,2025-06-05 14:59:33.830537,0 days 00:00:20.309686,1.5018815981739694e-05,2,COMPLETE
12,1.0648969310407195,2025-06-05 14:59:33.847264,2025-06-05 15:00:01.021606,0 days 00:00:27.174342,0.0013513847641636301,3,COMPLETE
13,1.0649000457784348,2025-06-05 14:59:41.144753,2025-06-05 15:00:05.006429,0 days 00:00:23.861676,0.0004211429342887533,3,COMPLETE
14,1.0649013047721752,2025-06-05 14:59:46.209672,2025-06-05 15:00:17.168647,0 days 00:00:30.958975,0.0005371793617010269,4,COMPLETE
15,1.064900442400483,2025-06-05 14:59:49.408660,2025-06-05 15:00:33.676741,0 days 00:00:44.268081,0.0006384617741298922,4,COMPLETE
16,1.0648994462302317,2025-06-05 15:00:01.021606,2025-06-05 15:00:29.344237,0 days 00:00:28.322631,0.00041078790595712147,3,COMPLETE
17,1.0648970822046997,2025-06-05 15:00:05.010430,2025-06-05 15:00:33.578510,0 days 00:00:28.568080,0.0008490572184623923,4,COMPLETE
18,1.0648962753354996,2025-06-05 15:00:17.168647,2025-06-05 15:00:44.859282,0 days 00:00:27.690635,0.0012005135417046643,5,COMPLETE
19,1.0648968185489534,2025-06-05 15:00:29.344237,2025-06-05 15:00:51.640265,0 days 00:00:22.296028,0.0011386235462968596,6,COMPLETE
