number,value,datetime_start,datetime_complete,duration,params_alpha,params_depth,params_dropout,params_hidden_size,params_learning_rate,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,1.2989004430114315,2025-04-24 17:10:10.071324,2025-04-24 17:17:01.014569,0 days 00:06:50.943245,0.7,4,0.2,128,0.0018565620482891853,7.903247455685373e-06,,,,COMPLETE
1,1.254121920207877,2025-04-24 17:10:10.075086,2025-04-24 17:17:13.316531,0 days 00:07:03.241445,0.7,6,0.4,256,0.004515533039765983,1.0750860855404373e-05,1.254121920207877,1.254121920207877,1.254121920207877,COMPLETE
2,1.182588538673628,2025-04-24 17:10:10.077863,2025-04-24 17:17:02.595739,0 days 00:06:52.517876,0.4,5,0.5,256,0.002339738525247744,2.5066484779391904e-06,1.182588538673628,,,COMPLETE
3,1.8054748172532857,2025-04-24 17:10:10.081428,2025-04-24 17:17:04.874204,0 days 00:06:54.792776,0.7,5,0.30000000000000004,256,0.0001121642746073204,1.2324761375555238e-06,1.8054748172532857,1.8054748172532857,,COMPLETE
4,1.9767038622965283,2025-04-24 17:17:01.030199,2025-04-24 17:18:21.919739,0 days 00:01:20.889540,0.4,7,0.4,128,0.0016234053239830156,2.607915080615721e-05,1.9767038622965283,,,PRUNED
5,1.756049246702984,2025-04-24 17:17:02.602253,2025-04-24 17:18:23.007035,0 days 00:01:20.404782,0.4,6,0.4,256,0.005861864582903892,4.929157747501549e-06,1.756049246702984,,,PRUNED
6,1.1630271855392404,2025-04-24 17:17:04.896346,2025-04-24 17:22:13.161516,0 days 00:05:08.265170,0.7,3,0.2,64,0.002552101614209012,6.1742407040260805e-06,1.525407056279662,1.1630271855392404,,COMPLETE
7,1.5030356121577597,2025-04-24 17:17:13.316531,2025-04-24 17:22:34.020900,0 days 00:05:20.704369,0.3,3,0.4,256,0.0004483518160148007,4.348139552172136e-06,1.5030356121577597,,,PRUNED
8,1.65360391346983,2025-04-24 17:18:21.919739,2025-04-24 17:24:04.366287,0 days 00:05:42.446548,0.4,4,0.2,128,0.0003249707504827533,2.6457362823517627e-05,1.65360391346983,,,PRUNED
9,2.0049804531670015,2025-04-24 17:18:23.007035,2025-04-24 17:20:46.990402,0 days 00:02:23.983367,0.3,7,0.30000000000000004,128,0.0001374106661360357,0.0002731264664295993,2.0049804531670015,,,PRUNED
